epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/p_mse_norm_epoch,train/p_mse_norm_step,train/tau_mse_norm_epoch,train/tau_mse_norm_step,train/total_epoch,train/total_step,val/cd_rel_err_pct,val/p_mse_norm,val/tau_mse_norm,val/total
,0.0004,0.0004,4,,,,,,,,,,
0,,,4,,373264.5625,,1.0215140581130981,,373265.59375,,,,
,0.0004995329614552355,0.0004995329614552355,9,,,,,,,,,,
0,,,9,,466256.5,,1.0541599988937378,,466257.5625,,,,
,0.0004976389398764865,0.0004976389398764865,14,,,,,,,,,,
0,,,14,,193116.71875,,0.7340653538703918,,193117.453125,,,,
0,,,15,,,,,,,99.67362976074219,478939.0625,0.5967016816139221,478939.65625
0,,,15,336795.40625,,0.9222789406776428,,336796.34375,,,,,
,0.0004943010193390463,0.0004943010193390463,19,,,,,,,,,,
1,,,19,,537582.375,,1.1901692152023315,,537583.5625,,,,
,0.0004895408475384656,0.0004895408475384656,24,,,,,,,,,,
1,,,24,,456527.5625,,1.0304855108261108,,456528.59375,,,,
,0.0004833892960154997,0.0004833892960154997,29,,,,,,,,,,
1,,,29,,367386.625,,0.8774833679199219,,367387.5,,,,
1,,,31,,,,,,,99.55308532714844,476854.3125,0.8739637136459351,476855.1875
1,,,31,334877.71875,,0.8825951218605042,,334878.5625,,,,,
,0.0004758862599423194,0.0004758862599423194,34,,,,,,,,,,
2,,,34,,238498.859375,,0.6622274518013,,238499.515625,,,,
,0.0004670803993870113,0.0004670803993870113,39,,,,,,,,,,
2,,,39,,323322.125,,0.7082855105400085,,323322.84375,,,,
,0.00045702882373436317,0.00045702882373436317,44,,,,,,,,,,
2,,,44,,223058.3125,,0.5729855895042419,,223058.890625,,,,
2,,,47,,,,,,,99.33929443359375,475025.625,0.8286697268486023,475026.4375
2,,,47,333903.90625,,0.7221249341964722,,333904.625,,,,,
